alex,alex,0.0,true,0
Apple Pie in a Jar Drink,100.0,0.0,true,0
Apple Pie by Grandma Ople,12.0,0.0,true,0
Banana Banana Strawberry Smoothie,61.0,4.0,true,0
Oatmeal Cookie Apple Crisp,130.0,5.0,false,0
alex,alex,4.0,false,10
alex,alex,5.0,false,40
The Best Apples for Apple Pie and Apple Crisp,0.0,5.0,false,120
alex,alex,2.0,false,20
Apple Pie in a Jar Drink,100.0,5.0,false,10
The Best Apples for Apple Pie and Apple Crisp,"",0.0,true,0
alex,alex,5.0,false,5
Le crumble aux pommes du Chat qui Tousse,"",0.0,false,0
Le crumble aux pommes du Chat qui Tousse,"",4.8,true,0
Beignets de pomme de mon papi,"",4.8,false,0
Tarte pommes râpées citrons,592 avis,4.7,false,0
Tarte aux pommes à l'Alsacienne,1109 avis,4.8,false,0
Pommes de terres sautées,344 avis,4.9,false,0
alex,jen,4.0,false,30
Verrine avocat et saumon fumé,212 avis,4.8,true,0
Le crumble aux pommes du Chat qui Tousse,2334 avis,4.8,false,0
Beignets de pomme de mon papi,220 avis,4.8,false,35
Beignets de pomme de mon papi,220 avis,4.8,false,35
Beignets de pomme de mon papi,220 avis,4.8,false,35
